post_id,post_timestamp,comment_id,comment_timestamp,comment_username,comment_text,comment_scrape_date,comment_user_id,comment_like_count,comment_reply_count,comment_did_report_as_spam,comment_hashtags,comment_mentions,reply_id,reply_timestamp,reply_username,reply_text,reply_scrape_date,reply_user_id,reply_like_count,reply_hashtags,reply_mentions,scrape_date,text_for_analysis,sentiment_label,sentiment_score,toxicity_toxicity,toxicity_severe_toxicity,toxicity_obscene,toxicity_identity_attack,toxicity_insult,toxicity_threat,toxicity_sexual_explicit,misogyny_label,misogyny_score
2766289822806051465,2022-02-04T15:11:07.000Z,17959476868569935,2022-02-04T16:32:43.000Z,irishadventurerider,You look cold,2025-03-08T10:45:32.791Z,4348202075.0,2.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:32.791000+00:00,You look cold,negative,0.9089198112487793,0.21958979964256287,9.908562788041309e-05,0.0027463368605822325,0.0003818228142336011,0.1732642650604248,0.000571524549741298,0.0005835495539940894,LABEL_0,0.9999667406082153
2768542616585904593,2022-02-07T17:49:48.000Z,18188320618087401,2022-02-12T21:19:54.000Z,jeromeabeky,"""Environmental"" legislation to stop people from getting good jobs, where's the balance? for some people to work in offices others need to mine for the natural earth materials to fill up office buildings with the tech you use daily.",2025-03-08T10:45:32.382Z,2347830160.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:32.382000+00:00,"""Environmental"" legislation to stop people from getting good jobs, where's the balance? for some people to work in offices others need to mine for the natural earth materials to fill up office buildings with the tech you use daily.",negative,0.5698727369308472,0.00050343107432127,1.7553575162310153e-05,0.00010890864359680563,7.93867147876881e-05,0.00018612935673445463,3.090255631832406e-05,1.960481131391134e-05,LABEL_0,0.999966025352478
2768580030708817840,2022-02-07T19:01:22.000Z,17918834591245664,2022-02-07T19:55:04.000Z,sinead.mclaughlin.sdlp,Fantastic idea 👏,2025-03-08T10:45:32.376Z,42269403994.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:32.376000+00:00,Fantastic idea 👏,positive,0.9205799698829651,0.0004509393183980137,3.1183764804154634e-05,0.00021302196546457708,0.00011479689419502392,0.00027668787515722215,4.375347270979546e-05,2.834463339240756e-05,LABEL_0,0.9999500513076782
2768580030708817840,2022-02-07T19:01:22.000Z,17926927979100389,2022-02-08T16:21:31.000Z,patrickh1984,Class idea 💪,2025-03-08T10:45:32.376Z,1506347911.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:32.376000+00:00,Class idea 💪,positive,0.8909684419631958,0.0004635669756680727,3.2744301279308274e-05,0.00019941078789997846,9.262865205528215e-05,0.0002555109385866672,6.16210963926278e-05,2.774067070276942e-05,LABEL_0,0.9999614953994751
2768580030708817840,2022-02-07T19:01:22.000Z,18255488695072417,2022-02-08T16:22:37.000Z,menstruationmatters_,👏👏👏👏,2025-03-08T10:45:32.376Z,4176233811.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:32.376000+00:00,👏👏👏👏,positive,0.5907371640205383,0.0005524083389900625,2.9675857149413787e-05,0.00022381058079190552,0.0001162980988738127,0.0004140266973990947,4.2500578274484724e-05,2.649044108693488e-05,LABEL_0,0.999966025352478
2770620547105729963,2022-02-10T14:35:30.000Z,17935053610938751,2022-02-10T14:51:25.000Z,mccannmark37,Well done Cara a great MLA and future MP,2025-03-08T10:45:32.148Z,6733382053.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:32.148000+00:00,Well done Cara a great MLA and future MP,positive,0.9238876700401306,0.0002897122176364064,4.939117206959054e-05,0.00023842370137572289,0.0001071874430635944,0.00018689835269469768,5.47616473340895e-05,4.923589222016744e-05,LABEL_0,0.9999666213989258
2773780902430561012,2022-02-14T23:35:11.000Z,18227458576097439,2022-02-15T01:31:13.000Z,mccannmark37,Doing a great job Cara,2025-03-08T10:45:31.958Z,6733382053.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.958000+00:00,Doing a great job Cara,positive,0.9193323254585266,0.0009309109882451594,0.0001366896030958742,0.0006964805070310831,0.00023690570378676057,0.00034981389762833714,0.00023609664640389383,0.00020495080389082432,LABEL_0,0.9999654293060303
2776323707535243821,2022-02-18T11:51:33.000Z,17965960525555344,2022-02-18T15:29:14.000Z,mccannmark37,It's not acceptable childish behaviour if you don't agree with someone don't threaten or abuse or bully anyone have respect for everyone I have enormous respect for you Cara and anyone else in the public eye,2025-03-08T10:45:31.682Z,6733382053.0,1.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.682000+00:00,It's not acceptable childish behaviour if you don't agree with someone don't threaten or abuse or bully anyone have respect for everyone I have enormous respect for you Cara and anyone else in the public eye,negative,0.8311014771461487,0.005615337751805782,2.967840373457875e-05,0.000391798181226477,9.346035949420184e-05,0.0011451554019004107,8.102835272438824e-05,0.00018256111070513725,LABEL_0,0.9999608993530273
2776323707535243821,2022-02-18T11:51:33.000Z,18126003724257404,2022-02-18T14:43:54.000Z,clairesugdenmla,👏,2025-03-08T10:45:31.682Z,5628832961.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.682000+00:00,👏,positive,0.5683245658874512,0.0006997145246714354,3.2212541555054486e-05,0.0002762458461802453,0.00013864670472685248,0.0005341811920516193,5.0917402404593304e-05,2.7769865482696332e-05,LABEL_0,0.9999614953994751
2776323707535243821,2022-02-18T11:51:33.000Z,17935980463941270,2022-02-18T12:32:29.000Z,naomi_prints,👏👏,2025-03-08T10:45:31.682Z,30206308.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.682000+00:00,👏👏,positive,0.5775880217552185,0.0006237202323973179,2.4543196559534408e-05,0.0001921785733429715,0.00011146628821734339,0.00040864571928977966,4.263868322595954e-05,2.3323449568124488e-05,LABEL_0,0.9999674558639526
